Agence AXA Algérie ;Code;région;NOM ET TEL DA;Téléphone;4 chiffres;Email;Adresse;Date d'ouverture;Coordonnées GPS;Horaires d'ouverture
El Djouzia (Constantine);413;Est II;meriem boudchicha  : 0770080137;770080256;2250;AgenceElKhroub@axa.dz;Rue Benssaadellah n°09 El Khroub Constantine;12/11/2013;36.264355,6.692860;9:00 - 17:30  Samedi à Jeudi
Hippone (Annaba);414;Est II;meriem delallou par interim /;770080207;2260;AgenceAnnaba@axa.dz;3, boulevard Zighoud Youcef local n°03B Annaba;02/12/2013;36.903100,7.759878;9:00 - 17:30  Samedi à Jeudi
Les Amandiers (Azzazga);425;Est I;Lounis BESSAHA: 0770080210;770 080 211;2 280;AgenceAzazga@axa.dz;Immeuble ALILI FARES. TIZI BOUCHEN. AZZAZGA;11/02/2014;36.747119,4.359775;9:00 - 17:30  Samedi à Jeudi
El Minaa (Relizane);410;Ouest ; Rim BOUCHAREB : 0770080 289;770 080 290;2 455;AgenceRelizane@axa.dz;37, boulevard Mohamed KHMESTI, Relizane;26/02/2014;35.745003,0.557337;9:00 - 17:30  Samedi à Jeudi
Les Glycines (Chlef);428;Ouest ;sarah bouzar (intérim): 0770080241;770 080 242;2 465;AgenceChlef@axa.dz;03 Rue El Mokrani, Chlef;23/04/2014;36.169761,1.336342;9:00 - 17:30  Samedi à Jeudi
Coquelicot (Zeralda);429;Centre I;AZERKAK Nousseiba  (intérim) : 0770080293;770 080 316;2 115;AgenceZeralda@axa.dz;Boulevard 1er novembre lot n°21 Zeralda;05/03/2014;36.716924,2.845584;9:00 - 17:30  Samedi à Jeudi
Figuier (Boumerdes);453;Est I;Hamza Hamida : 0770080 054;770 080 236;2 270;AgenceBoumerdes@axa.dz;Villa n°31/02 Cité de l''indépendance Boumerdes;16/06/2014;36.758327,3.477017;"9:00 - 17:30 
Dimanche à Jeudi"
Trefle (Bouira);483;Est I;Kahina GRIM : 0770080234;770080235;2265;AgenceBouira@axa.dz; Nouveau Boulevard, Lot n°01 (HOTEL SOFY) Face Université – Bouira;08/06/2014;36.38001,3.89235;9:00 - 17:30  Samedi à Jeudi
Oasis (Kouba);486;Centre II;Neila NESNAS: 0770080 257;770 080 277;2 140;agenceoasis@axa.dz;60 rue Mahmoud Boudjatit kouba;29/06/2014;36.738152,3.089707;"9:00 - 17:30 
Dimanche à Jeudi"
"Maraval (Oran) ""Les rosiers""";488;Ouest ;Anissa dris : 0770080197;770080282;2430;AgenceOranMaraval@axa.dz;60, cité El-Otmania, Boulevard Mekki Khalifa, Oran;03/08/2014;35.677012,-0.648624;"9:00 - 17:30 
Dimanche à Jeudi"
Sequoia (Chevalley);494;Centre I;fatma belkacemi : 0770080060;770080240;2065;AgenceChevalley@axa.dz;N° 99 boulevard Jardin Miremont. Chevalley - Alger;08/09/2014;36.770676,3.010222;9:00 - 17:30  Samedi à Jeudi
Hortensia (Birkhadem);210;Centre II;BENDINE MUSTAPHA  (intérim): 0770080222;770 080 223;2 090;AgenceBirkhadem@axa.dz;07 Rue des frères Djilali Birkhadem;04/11/2014;36.721100,3.051072;"9:00 - 17:30 
Dimanche à Jeudi"
Cannelle (Oran Front De Mer);211;Ouest ;KARIMA HAMDANI: 0770080 281;770 080 280;2 435;AgenceOranFrontMer@axa.dz;Cité Miramar, angle du Boulevard 5 Juillet (ex Faidherbe) n° 04 Front de Mer, Oran.;04/11/2014;35.706635,-0.631901;9:00 - 17:30  Samedi à Jeudi
Violette (Staouéli);213;Centre I;Zakaria MESKINI : 0770080237;770 080 306;2 080;AgenceStaouali@axa.dz;Route de la bridja staoueli- Alger;18/12/2014;36.740426,2.875553;9:00 - 17:30  Samedi à Jeudi
Tamsilt (M'Sila);493;Est I;adel benyahia: 0770080 275;770 080 276;2 285;AgenceMsila@axa.dz;Cité el Wehda numéro : 02  M’sila ;11/01/2015;35.72130, 4.534028;9:00 - 17:30  Samedi à Jeudi
Anémone (Laghouat);212;Est II;Hamza Benmebrak: 0770080265;770 080 266;2 485;AgenceLaghouat@axa.dz;Cité El M'Kam LAGHOUAT;18/01/2015;33.799029, 2.863302;9:00 - 17:30  Samedi à Jeudi
Narcisse (Annaba 2);218;Est II;MELIANI Mohamed Amine (Intérim);770 080 209;2 305;AgenceAnnaba02@axa.dz;Avenue colonel Amirouche lieu dit Tahar Benachour Annaba ;22/01/2015;36.905147, 7.744103;9:00 - 17:30  Samedi à Jeudi
Tiziri (Tizi Ouzou 2);216;Est I;Nadir SAIGH  : 0770080317;770 080 311;2 290;AgenceTiziOuzzou02@axa.dz;Local N°01 Boulevard Stiti Ali Tizi Ouzou;25/01/2015;36.713126,4.047393;"9:00 - 17:30 
Dimanche à Jeudi"
Laurier (Constantine 2);219;Est II;asma ghernaout  : 0770080271;770080244;2295;AgenceConstantine02@axa.dz;Rue  frères Ghedjghedj N°17 (EX Benachour) Constantine;01/02/2015;36.364212, 6.640502;9:00 - 17:30  Samedi à Jeudi
Le Muguet(Ouargla);225;Est II; khelfaoui amine interim 0770 080 286;770 080 286;2 490;AgenceOuargla@axa.dz;Avenue El Kods Tazegraret Ouargla ;15/06/2015;31,954530, 5.325061 ;9:00 - 17:30  Samedi à Jeudi
Pivoine (Tlemcen 2);227;Ouest ;ryad bedrane: 0770080 312;770 080 314;2 500;AgenceTlemcen02@axa.dz;66 cité des roses local C, Mansourah Imama, Tlemcen;17/06/2015;34.879181, -1.338334;9:00 - 17:30  Samedi à Jeudi
Capucine (Belfort);251;Centre II;Nizar Saidi : 0770080 188;770080327;2085;AgenceBelfort@axa.dz;05, Rue Sidi El Chikh El Harrach, Alger;02/05/2016;36,723950,3.148543;9:00 - 17:30  Samedi à Jeudi
Azalée (Bab Ezzouar);270;Centre II;Ibtissem SELLAMNA : 0770080 186;770080187;2050;Agence.Azalee@axa.dz;Cité Boushaki « F » lot N°172 Bab Ezzouar , Alger;05/02/2017;36,724950,3,175891;9:00 - 18:00/19:00  Samedi à Jeudi
Acacia (Gherdaia);267;Est II;CDC ZIANI Yacine : 770080193;770080193;N/A;"AgenceGhardaiaAcacia@axa.dz";"Sidi Abaz; Bounoura ; Route Nationale N°01 Ghardaia. ";25/12/2016;32.485872,3.698324;"9:00 - 17:30 
Dimanche à Jeudi"
Russicada (Skikda);265;Est II;ANIS BOULKEROUA: 0770080208;770080192;2320;agenceskikdarussicada@axa.dz;Cité du 20/08/1955 villa 43D Skikda;26/12/2016;36,8819443,6,907060;9:00 - 17:30  Samedi à Jeudi
Aubepine (Hassi Messaoud);266;Est II;Amine Khelfaoui 0770 080 286;770 080 194;N/A;AgenceHassiMessaoudAubepine@axa.dz;local  : N° 18  cité Okba Ben Nafaa  ( en face de Mobilis )  Ville de Hassi Messaoud .;25/12/2016;31,686728 , 6 ,063306;"9:00 - 17:30 
Dimanche à Jeudi"
Agence du Val;283;Centre I;SEKSAOUI Mohamed Fodhil (Intérim)  : 0770080270;770080260;2045;agencevalhydra@axa.dz;Lotissement 11 décembre 1960, Lots N° 08 et 12, El Biar, Alger Algérie;27/03/2018;36.761591, 3.024599;"9:00 - 17:30 
Dimanche à Jeudi"
Sabal (El Achour);223;Centre I;chahinez hamdaoui : 0770080202;770080203;2004;AgenceSebala@axa.dz ;Groupe de propriété n°02 section 02 RDC  route de Sebbala, El Achour;02/06/2019;36,729689,3,003051;"9:00 - 17:30 
Dimanche à Jeudi"
