id_vehicule;Marque;Modèle;ANNEE_CIRCUL;Valeur_a_neuf;Valeur_venale;id_proprietaire
147;NISSAN;SUNNY;2011;1600000;900000;853
148;FORD;FIESTA;2014;;;828
149;DACIA;LOGAN;2013;;;273
150;CHEVROLET;CRUZE;2013;1560000;1230000;1662
151;GREAT WALL;HAVAL M4;2014;1600000;1600000;1024
152;MITSUBISHI;L200;2013;3000000;1510000;1300
153;SUZUKI;ALTO;2007;900000;450000;1820
154;BMW;525D;2013;6500000;4500000;689
155;VOLSWAGEN;POLO;2013;;;461
156;RENAULT;CLIO;2008;;;311
157;HYUNDAI;ATOS;2000;;;573
158;PEUGEOT;206;2008;;;1417
159;RENAULT;CLIO;2014;;;50
160;PEUGEOT;207;2013;;;1086
161;VOLSWAGEN;POLO;2013;;;1359
162;SKODA;YETI;2014;;;947
163;PEUGEOT;301;2014;;;1755
164;SOKON;MINI COMION DOUBLE CABINE;2013;580000;550000;233
165;PEUGEOT;207;2011;;;1193
166;OPEL;CORSA;2014;;;812
167;NISSAN;MICRA;2012;;;245
168;TOYOTA;YARIS;2013;;;109
169;SEAT;LEON;2014;;;512
170;CITROEN;DS3;2013;2200000;1800000;814
171;SUZUKI;SWIFT;2014;;;236
172;VOLKS WAGEN;TOURAN;2009;1700000;600000;458
173;RENAULT;MEGANE;2004;;;1988
174;DAIHATSU;DELTA;2006;;;897
175;AUDI;A4;2014;5000000;2800000;71
176;TOYOTA;YARIS;2013;;;1638
177;VOLKS WAGEN;EOS;2007;1900000;600000;886
178;SUZUKI;CELERIO;2012;;;655
179;SEAT;IBIZA;2012;;;85
180;CHEVROLET;AVEO;2012;;;45
181;PEUGEOT;206+;2011;;;1821
182;PEUGEOT;306;1998;;;1270
183;HYUNDAI;ACCENT;2008;;;35
184;VOLKS WAGEN;GOLF;2000;;;1750
185;RENAULT;MEGANE;1997;;;1801
186;CITROEN;C4;2007;1450000;1000000;807
187;RENAULT;LOGAN;2010;950000;500000;1074
188;SEAT;LEON;2014;;;343
189;DACIA;SANDERO;2013;1100000;930000;1754
190;SKODA;FABIA;2013;;;742
191;AUDI;A3;2014;;;963
192;KIA;PICANTO;2008;;;1052
193;PEUGEOT;107;2014;;;226
194;MERCEDES;190;1999;1100000;700000;778
195;MERCEDES;E280;2006;2000000;700000;117
196;SEAT;IBIZA;2010;1750000;1137500;972
197;SEAT;IBIZA;2013;;;175
198;PEUGEOT;208;2014;;;110
199;PEUGEOT;PARTNER;2008;;;1063
200;LAND ROVER;FREELANDER;2014;4800000;4800000;945
201;PEUGEOT;206;2008;;;1702
202;RENAULT;R4;2014;100000;80000;953
203;VOLKS WAGEN;POLO;2012;;;1361
204;RANG ROVER;RANG ROVER;2010;8000000;4000000;1119
205;CHEVROLET;SONIC;2014;;;490
206;SEAT;IBIZA;2018;;;1435
207;DACIA;SANDERO;2009;1400000;900000;1614
208;NISSAN;PATHFINDER;2011;3600000;3000000;387
209;RENAULT;CLIO;2007;;;1534
210;VOLKS WAGEN;GOLF;2009;;;703
211;CITROEN;C ELYSEE;2014;;;957
212;PEUGEOT;2008;2014;;;1365
213;SKODA;OCTAVIA;2014;;;332
214;RENAULT;CLIO;2002;;;1536
215;SEAT;IBIZA;2011;;;1295
216;VOLKSWAGEN;POLO;2014;;;285
217;DACIA;DUSTER;2013;;;43
218;VOLKS WAGEN;AMAROK;2016;3340000;3000000;507
219;RENAULT;TRAFIC;2004;2000000;1400000;1978
220;RENAULT;SYMBOL;2012;;;1826
221;AUDI;Q7;2008;6000000;2000000;1475
222;AUDI;A1;2014;;;1987
223;FORD;FOCUS;2013;;;762
224;MITSUBISHI;L200;2005;2000000;700000;556
225;TOYOTA;COROLLA;2014;;;898
226;RENAULT;MEGANE;2003;1700000;700000;801
227;CITROEN;BERLINGO;2011;;;594
228;PEUGEOT;208;2009;2500000;2400000;20
229;HUNDAI;TUCSON;2013;1900000;1800000;1669
230;RENAULT;CLIO;2014;;;973
231;PEUGEOT;208;2014;;;780
232;TOYOTA;YARIS;2013;;;1995
233;PEUGEOT;207;2014;1400000;1100000;1937
234;VOLKS WAGEN;GOLE;2014;1389000;1389000;1042
235;NISSAN;PATROL;2014;;;811
236;NISSAN;PATROL;2014;;;1593
237;NISSAN;PATROL;2014;;;1273
238;NISSAN;PATROL;2014;;;1417
239;FORD;FIESTA;2013;;;1113
240;PEUGEOT;PARTNER;2012;;;1492
241;PEUGEOT;PARTNER;2014;;;171
242;VOLKS WAGEN;CRAFTER;2014;2000000;2000000;918
243;FAW;CAMIONNETE;2013;600000;540000;555
244;PEUGEOT;406;2002;;;1096
245;VOLKS WAGEN;POLO;2012;;;974
246;CHEVROLET;AVEO;2014;;;59
247;CITROEN;C3;2012;;;1754
248;CITROEN;C - ELYSEE;2013;1600000;1130000;1174
249;CHEVROLET;OPTRA;2009;;;1999
250;RENAULT;CLIO;2002;;;1748
251;PEUGEOT;PARTNER;2014;;;1773
252;FORD;FIESTA;2013;;;138
253;SUZUKI;SWIFT;2014;;;910
254;PEUGEOT;208;2014;;;129
255;DACIA;DUSTER;2013;;;718
256;RENAULT;CLIO CAMPUS;2006;1040000;700000;955
257;HYUNDAI;I10;2014;;;397
258;PEUGEOT;308;2014;;;506
259;CHEVROLET;SPARK;2014;940000;900000;451
260;VOLKS WAGEN;TIGUAN;2014;2300000;2300000;428
261;PEUGEOT;208;2012;;;430
262;CHEVROLET;SPARK;2012;;;970
263;CHEVROLET;CAPTIVA;2010;;;1058
264;PEUGEOT;3008;2014;;;1818
265;AUDI;A5;2013;5000000;3000000;531
266;SKODA;YETI;2011;2100000;1700000;270
267;VOLKSWAGEN;POLO;2014;;;1569
268;HYUNDAI;ATOS;2010;;;653
269;DACIA;LOGAN;2013;;;1416
270;PEUGEOT;306;1998;800000;600000;1781
271;OPEL;CORSA;2013;;;563
272;PEUGEOT;301;2013;;;977
273;LAND ROVER;FREELANDER;2012;3500000;3100000;589
274;BMW;SERIE 1;2008;1800000;950000;1563
275;FAW;V70;2013;740000;740000;250
276;CHEVROLET;CRUZE;2010;1400000;1510000;166
277;KIA;PICANTO;2006;;;1894
278;VOLKS WAGEN;GOLF 7;2013;2100000;1900000;586
279;VOKSWAGEN;CADDY;2019;4000000;4000000;602
280;PEUGEOT;PARTNER;2013;;;1309
281;PEUGEOT;206+;2010;;;75
282;RENAULT;CLIO 4;2014;;;839
283;OPEL;ASTRA;2014;;;624
284;WOLSWAGEN;TIGUAN;2010;2619000;1687500;187
285;RENAULT;TRAFIC;2009;;;1887
286;CHEVROLET;SPARK;2013;;;1655
287;DACIA;STEPWAY;2014;;;1793
288;AUDI;Q3;2013;3200000;2500000;1306
289;NISSAN;MICRA;2012;;;1824
290;RENAULT;CLIO3;2012;;;1085
291;SEAT;IBIZA;2014;;;799
292;PEUGEOT;PARTNER;2013;;;1579
293;SEAT;IBIZA;2013;;;614
294;CHRYSLER;DODGE;2007;5000000;2000000;567
295;DACIA;DUSTER;2013;;;189
296;CHEVROLET;AVEO;2011;;;837
297;RENAULT;CLIO;2014;;;1073
298;KIA;SPORTAGE;2011;2000000;1600000;1792
299;VOLKS WAGEN;GOLF;2011;;;1543
300;VOLKSWAGEN;TIGUAN;2014;;;895
301;SKODA;YETI;2013;;;1075
302;VOLKSWAGEN;POLO;2007;;;670
303;PEUGEOT;308;2013;;;483
304;PEUGEOT;301;2013;;;840
305;LAND ROVER;EVOQUE;2014;;;1633
306;DACIA;1310;2010;1200000;920000;435
307;PEUGEOT;BOXER;2014;;;1603
308;FIAT;PUNTO;2000;1040000;700000;1740
309;VOLKSWAGEN;POLO;2011;;;1400
310;PEUGEOT;306;2001;500000;480000;1340
311;RENAULT;SCENIC;2014;2493000;2493000;1384
312;VOLKSWAGEN;POLO;2012;;;428
313;CHEVROLET;SPARK;2010;;;349
314;CHEVROLET;NEW SPARK;2012;1000000;850000;123
315;RENAULT;CLIO;2014;;;320
316;RENAULT;MEGANE;2005;;;738
317;PEUGEOT;208;2014;;;1894
318;RENAULT;MEGANE;2013;;;870
319;HYUNDAI;ACCENT;2012;;;1166
320;PEUGEOT;308;2013;;;1031
321;PEUGEOT;307;2004;;;1698
322;HYUNDAI;ATOS;2011;;;1549
323;SEAT;LEON;2011;;;1967
324;SKODA;RAPID;2013;;;109
325;VOLKSWAGEN;POLO;2010;;;343
326;AUDI;Q5;2010;;;49
327;BMW;X3;2014;4200000;3780000;792
328;HYUNDAI;ACCENT;2009;1000000;500000;1653
329;RENAULT;SENIC;2014;2000000;2000000;1531
330;RENAULT;CLIO3;2010;;;763
331;SKODA;FABIA;2012;;;246
332;CHEVROLET;OPTRA;2008;;;1446
333;SKODA;YETTI;2015;;;992
334;TOYOTA;HILUX;2010;;;1719
335;TOYOTA;COROLA;2014;;;106
336;SUZUKI;SWIFT;2014;;;576
337;DACIA;DUSTER;2014;;;599
338;CITROEN;C3;2009;1600000;1000000;426
339;SUZUKI;SWIFT;2013;;;102
340;HYUNDAI;TUCSON;2012;;;1263
341;SKODA;OCTAVIA;2012;;;1551
342;BMW;X3;2005;4000000;2000000;211
343;DACIA;DUSTER;2014;;;166
344;VOLKSWAGEN;GOLF;2013;;;1960
345;KIA;PICANTO;2011;;;1748
346;OPEL;ASTRA;2007;1800000;800000;539
347;DACIA;DUSTER;2014;;;567
348;NISSAN;SUNNY;2013;1099000;1099000;1930
349;JAC;HFC1040K;2008;1400000;735000;1037
350;PEUGEOT;4008;2012;;;525
351;PEUGEOT;PARTENER;2003;400000;400000;1590
352;CHEVROLET;SPARK;2009;;;1329
353;HONDA;ACCORD;1981;700000;250000;605
354;PEUGEOT;207;2012;;;510
355;HYUNDAI;ACCENT;2007;;;925
356;SUZUKI;CELERIO;2011;;;1583
357;RANAULT;CLIO 3;2008;1330000;750000;1203
358;VOLKS WAGEN;GOLF;1999;1000000;500000;1244
359;LAND ROVER;FREELANDER 2;2007;3000000;2000000;1754
360;PEUGEOT;301;2013;;;893
361;PEUGEOT;207;2011;;;1251
362;TOYOTA;YARIS;2012;;;461
363;VOLKS WAGEN;CADDY;2014;1550000;1550000;475
364;DACIA;SANDERO;2014;;;1054
365;KIA;CERATO;2010;;;1156
366;HAFEI;HFJ1021HE;2013;600000;500000;1723
367;CITROEN;SAXO;2001;;;452
368;KIA;CARENS;2006;1400000;600000;1604
369;CITROEN;C3;2012;;;1476
370;CHEVROLET;TRAX;2014;;;252
371;VOLKSWAGEN;POLO;2012;;;33
372;MERCEDES;C220;2007;;;1870
373;SSANG-YONG;KORONDO;2011;2300000;1800000;1090
374;PEUGEOT;2008;2014;;;975
375;RENAULT;CLIO;2001;;;1828
376;DACIA;DUSTER;2013;;;1311
377;FIAT;PUNTO;2014;4000000;1850000;361
378;SEAT;IBIZA;2012;;;648
379;FOTON;3200;2007;1000000;400000;177
380;RENAULT;MEGANE 3;2012;;;1165
381;CITROEN;C3;2010;;;1065
382;SKODA;OCTAVIA;2006;1000000;800000;1532
383;FORD;FOCUS;2013;;;476
384;VOLKSWAGEN;POLO;2009;;;1629
385;PEUGEOT;208;2013;;;1356
386;RENAULT;SCENIC;2002;;;1179
387;TOYOTA;COROLLA;2012;;;312
388;PEUGEOT;508;2014;2410000;2410000;1031
389;VOLKSWAGEN;POLO;2005;;;1262
390;TOYOTA;HILUX;2009;;;402
391;PEUGEOT;607;2000;4800000;500000;322
392;SKODA;FABIA;2013;;;1016
393;RENAULT;MASTER;2012;;;1578
394;JAC;JAC;2013;;;665
395;HYUNDAI;ATOS;2004;;;172
396;VOLKS WAGEN;GOLF;2008;;;1933
397;BMW;SERIE 1;2009;1800000;990000;135
398;TOYOTA;HILUX;2011;;;677
399;NISSAN;PATROL;2014;;;1344
400;NISSAN;PATROL;2014;;;627
401;NISSAN;PATROL;2015;4370000;2210128;457
402;NISSAN;PATROL;2014;4520000;2612560;67
403;BAIC;MINI TRUCK;2015;665000;665000;1688
404;TOYOTA;YARIS;2003;;;232
405;RENAULT;CLIO;2010;;;1261
406;HYUNDAI;ATOS;1999;600000;500000;623
407;PEUGEOT;208;2014;;;1479
408;CHEVROLET;CAPTIVA;2012;;;208
409;PEUGEOT;PARTNER TP;2013;;;978
410;FIAT;500;2015;1450000;1000000;838
411;DACIA;DUSTER;2012;;;1394
412;TOYOTA;YARIS;2013;;;1224
413;CITROEN;BERLINGO;2015;;;302
414;OPEL;INSIGNIA;2015;3000000;2000000;1964
415;CHEVROLET;SPARK;2015;;;1415
416;RENAULT;CLIO 4;2016;;;742
417;FIAT;PALIO;2008;1000000;600000;504
418;CHEVROLET;CRUZE;2015;;;1105
419;VOLKS WAGEN;GOLF;2011;;;1796
420;RENAULT;MEGANE GT LINE;2015;4000000;3000000;277
421;RENAULT;CLIO4;2015;;;1880
422;PEUGEOT;208;2014;;;970
423;FORD;FIESTA;2014;;;848
424;SUZUKI;CELERIO;2010;;;272
425;DACIA;SANDERO;2015;;;486
426;SKODA;OCTAVIA;2014;;;247
427;VOLKS WAGEN;GOLF;2008;;;510
428;VOLKSWAGEN;PASSAT;2014;;;128
429;AUDI;A3;2015;;;1584
430;SEAT;IBIZA;2012;;;814
431;SKODA;FABIA;2019;1999000;1999000;1491
432;CHEVROLET;TRAX;2015;;;463
433;PEUGEOT;206;2003;;;1467
434;PEUGEOT;301;2015;;;1855
435;SUZUKI;SWIFT;2015;;;375
436;HYUNDAI;ATOS;2005;;;862
437;VOLKS WAGEN;GOLF7;2015;;;448
438;PEUGEOT;208;2015;;;457
439;VOLKSWAGEN;TIGUAN;2011;;;1324
440;RENAULT;SYMBOL;2015;;;946
441;SUZUKI;SWIFT;2015;;;434
442;VOLKSWAGEN;TIGUAN;2015;;;1766
443;SUZUKI;SWIFT;2015;;;1728
444;BYD;F0;2007;900000;900000;478
445;TOYOTA;AURIS;2012;1760000;1600000;1921
446;FORD;TRANSIT;2013;;;1378
447;RENAULT;CLIO;2014;;;1477
448;MERCEDES;BREAK;1983;1000000;700000;160
449;CHEVROLET;AVEO;2007;;;1431
450;SUZUKI;ALTO;2013;;;1900
451;PEUGEOT;5008;2015;2560000;2500000;359
452;NISSAN;MICRA;2013;;;1639
453;KIA;PICANTO;2014;;;1287
454;TOYOTA;AURIS;2014;;;1104
455;VOLSWAKEN;POLO;2009;1500000;850000;1763
456;SKODA;YETI;2014;;;771
457;PEUGEOT;BOXER;2013;;;904
458;TOYOTA;LAND CRUISER;2011;;;387
459;TOYOTA;LAND CRUISER;2011;2500000;1700000;839
460;FORD;FOCUS;2012;;;102
461;RENAULT;MASTER;2015;;;1447
462;HYUNDAI;TUCSON;2015;3000000;2400000;424
463;SUZUKI;SWIFT;2015;;;1144
464;SSANGYONG;KYRON;2010;1900000;1180000;471
465;SUZUKI;CELERIO;2014;;;1297
466;KIA;SORENTO;2015;;;1970
467;PEUGEOT;BOXER;2014;;;150
468;PEUGEOT;2008;2015;;;491
469;PEUGEOT;406;2000;;;287
470;PEUGEOT;308;2015;;;213
471;SKODA;FABIA;2012;;;1857
472;PEUGEOT;308;2015;;;1715
473;PEUGEOT;J5;1991;3000000;1000000;789
474;PEUGEOT;204;1970;150000;120000;1385
475;MERCEDES;C220;2002;2500000;1000000;576
476;VOLKS WAGEN;TIGUANE;2015;;;913
477;DACIA;DUSTER;2015;;;1505
478;VOLKSWAGEN;POLO;2015;;;1598
479;PARK KHODRO;NAP68BJM;2005;540000;178000;1775
480;RENAULT;EXPRESS;1990;800000;350000;1130
481;HYUNDAI;ACCENT;2011;;;434
482;FORD;RANGER;2015;;;1299
483;TOYOTA;COROLLA;2005;2000000;800000;1649
484;DACIA;STEPWAY;2015;;;1912
485;DACIA;STEPWAY;2015;;;1762
486;DFSK;CAMIONETTE;2014;650000;610000;1459
487;KIA;RIO;2013;;;569
488;CHEVROLET;SPARK;2015;;;1793
489;FIAT;LINEA;2015;;;1449
490;KIA;SORENTO;2012;;;1161
491;RENAULT;CLIO;2006;;;1435
492;VOLKSWAGEN;POLO;2011;;;1500
493;SKODA;OCTAVIA;2015;;;206
494;KIA;K2700;2008;2000000;1500000;1589
495;CHERRY;QQ;2012;670000;536000;263
496;IVECO;DAILY;2001;1800000;600000;1473
497;GREAT WALL;GREAT WALL;2015;1500000;1400000;479
498;RENAULT;CLIO;2001;;;385
499;KIA;PICANTO;2012;;;596
500;RENAULT;SYMBOL;2011;;;1751
501;FORD;FIESTA;2012;;;1049
502;HYUNDAI;ACCENT;2013;;;552
503;PEUGEOT;308;2015;;;1369
504;GONOW;GONOW;2012;600000;450000;1548
505;TOYOTA;YARIS;2013;;;456
506;NISSAN;SUNNY;2012;;;168
507;RENAULT;KANGOO;2002;1600000;400000;702
508;RENAULT; CLIO;2015;1405000;1405000;1269
509;PEUGEOT;2008;2015;;;473
510;DACIA;SANDERO;2014;;;111
511;VOLKS WAGEN;TIGUAN;2015;3659000;3659000;1532
512;VOLKS WAGEN;GOLF 5;2004;2000000;650000;788
513;TOYOTA;COROLLA;2009;1200000;1000000;897
514;PEUGEOT;PARTNER;2015;;;697
515;DACIA;DUSTER;2012;;;1195
516;AUDI;A3;2014;;;1497
517;RENAULT;CLIO4;2015;;;666
518;RENAULT;FLUENCE;2010;;;394
519;MERCEDES;VITO;2015;3300000;3300000;1132
520;SEAT;IBIZA;2014;;;373
521;CITROEN;JUPER;1994;300000;300000;1546
522;OPEL;ASTRA;2015;;;330
523;SUZUKI;CELERIO;2015;;;343
524;VOLSWAGEN;POLO;2014;1270000;1260000;1266
525;NISSAN;MICRA;2015;;;515
526;PEUGEOT;208;2015;;;1423
527;CHEVROLET;SAIL;2014;;;1476
528;RENAULT;CLIO3;2009;;;1112
529;KIA;CERATO;2015;2000000;2000000;924
530;PEUGEOT;PARTNER;2012;;;725
531;OPEL;ASTRA;2015;1900000;1900000;1802
532;VOLKSWAGEN;POLO;2011;;;438
533;KIA;PICANTO;2014;;;1872
534;OPEL;CORSA;2015;1251000;1251000;568
535;PEUGEOT;301;2013;;;367
536;TOYOTA;YARIS;2006;;;1860
537;VOLSWAGEN;POLO;2012;1200000;1000000;1412
538;VOLKS WAGEN;TIGUANE;2015;;;745
539;PEUGEOT;308;2015;;;1060
540;RENAULT;LAGUNA;2002;1500000;300000;77
541;RENAULT;MEGANE;2015;;;1006
542;TOYOTA;YARIS;2009;;;1063
543;HYUNDAI;ACCENT;2006;;;1413
544;E;SYMBOL;2015;1102000;1102000;449
545;CHEVROLET;AVEO;2010;;;1661
546;DACIA;LOGAN;2012;;;999
547;FIAT;LINEA;2015;1700000;1400000;23
548;VOLKS WAGEN;GOLF 7;2014;;;1096
549;CITROEN;CITROEN;2015;;;998
550;RENAULT;FLUENCE;2012;1900000;1700000;950
551;TOYOTA;YARIS;2014;;;150
552;PEUGEOT;208;2015;;;979
553;SKODA;FABIA;2007;1250000;1000000;1898
554;DACIA;LOGAN;2015;;;985
555;RENAULT;CLIO 4;2015;;;699
556;MG;MG3;2012;1200000;900000;68
557;KIA;CERATO;2010;6000000;1900000;959
558;PEUGEOT;405;1989;1000000;200000;1350
559;PEUGEOT;2008;2015;;;61
560;VOLKS WAGEN;GOLF7;2013;;;443
561;DAIHATSU;TERIOS;2014;1500000;1100000;1452
562;RENAULT;MEGANE BOSE;2015;2034000;2034000;1184
563;KIA;RIO;2015;;;1954
564;KIA;RIO;2005;1500000;400000;931
565;RENAULT;CLIO4;2014;;;1819
566;SKODA;FABIA;2004;;;1062
567;CITROEN;C5;2012;1600000;1510000;93
568;SUBARU;LEGACY;2012;;;1664
569;SKODA;OCTAVIA;2014;;;461
570;RENAULT;CLIO 4;2014;;;1665
571;VOLKSWAGEN;POLO;2013;;;998
572;SKODA;OCTAVIA;2014;;;1300
573;FIAT;PUNTO;2015;;;1710
574;DACIA;LOGANE;2015;;;1050
575;RENAULT;CAPTUR;2015;;;1211
576;7;COROLA;2004;1400000;700000;870
577;PEUGEOT;301;2015;;;571
578;FORD;FIESTA;2012;;;952
579;DACIA;SENDERO;2015;962500;900000;221
580;CHEVROLET;AVEO;2015;;;1078
581;DACIA;SANDERO;2015;;;662
582;CHEVROLET;AVEO;2010;;;1291
583;KIA;RIO;2013;;;559
584;RENAULT;CLIO4;2014;;;572
585;CITROEN;DS4;2015;;;1981
586;LIFAN;STD 320;2013;792000;400000;540
587;RENAULT;FLUENCE;2014;1580000;1580000;1141
588;HYUNDAI;ATOS;2003;;;1620
589;PEUGEOT;BOXER;2005;1800000;800000;632
590;PEUGEOT;207;2007;;;1181
591;NISSAN;PRIMERA;2004;1000000;500000;1969
592;VOLKSWAGEN;POLO;2013;;;685
593;SKODA;YETI;2015;;;411
594;CHEVROLET;AVEO;2007;;;1786
595;SKODA;RAPID;2015;;;8
596;RANAULT;CLIO;2006;900000;700000;379
597;KIA;BREAK;2017;4500000;4300000;227
598;FORD;TRANSIT;2014;1300000;1300000;691
599;SKODA;YETTI;2014;;;1822
600;AUDI;Q3;2015;;;98
